,CPU,Memory,Pods
1,100,2000,1
2,100,2000,2
3,100,2000,3
4,100,2000,4
5,100,2000,5
6,100,2050,1
7,100,2050,2
8,100,2050,3
9,100,2050,4
10,100,2050,5
11,100,2100,1
12,100,2100,2
13,100,2100,3
14,100,2100,4
15,100,2100,5
16,100,2150,1
17,100,2150,2
18,100,2150,3
19,100,2150,4
20,100,2150,5
21,100,2200,1
22,100,2200,2
23,100,2200,3
24,100,2200,4
25,100,2200,5
26,150,2000,1
27,150,2000,2
28,150,2000,3
29,150,2000,4
30,150,2000,5
31,150,2050,1
32,150,2050,2
33,150,2050,3
34,150,2050,4
35,150,2050,5
36,150,2100,1
37,150,2100,2
38,150,2100,3
39,150,2100,4
40,150,2100,5
41,150,2150,1
42,150,2150,2
43,150,2150,3
44,150,2150,4
45,150,2150,5
46,150,2200,1
47,150,2200,2
48,150,2200,3
49,150,2200,4
50,150,2200,5
51,200,2000,1
52,200,2000,2
53,200,2000,3
54,200,2000,4
55,200,2000,5
56,200,2050,1
57,200,2050,2
58,200,2050,3
59,200,2050,4
60,200,2050,5
61,200,2100,1
62,200,2100,2
63,200,2100,3
64,200,2100,4
65,200,2100,5
66,200,2150,1
67,200,2150,2
68,200,2150,3
69,200,2150,4
70,200,2150,5
71,200,2200,1
72,200,2200,2
73,200,2200,3
74,200,2200,4
75,200,2200,5
76,250,2000,1
77,250,2000,2
78,250,2000,3
79,250,2000,4
80,250,2000,5
81,250,2050,1
82,250,2050,2
83,250,2050,3
84,250,2050,4
85,250,2050,5
86,250,2100,1
87,250,2100,2
88,250,2100,3
89,250,2100,4
90,250,2100,5
91,250,2150,1
92,250,2150,2
93,250,2150,3
94,250,2150,4
95,250,2150,5
96,250,2200,1
97,250,2200,2
98,250,2200,3
99,250,2200,4
100,250,2200,5
101,300,2000,1
102,300,2000,2
103,300,2000,3
104,300,2000,4
105,300,2000,5
106,300,2050,1
107,300,2050,2
108,300,2050,3
109,300,2050,4
110,300,2050,5
111,300,2100,1
112,300,2100,2
113,300,2100,3
114,300,2100,4
115,300,2100,5
116,300,2150,1
117,300,2150,2
118,300,2150,3
119,300,2150,4
120,300,2150,5
121,300,2200,1
122,300,2200,2
123,300,2200,3
124,300,2200,4
125,300,2200,5
